,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE
48,Karapakkam,1412,2,2,4,0,House,ELO,Gravel,RL,8379000,28
49,Adyar,779,1,1,2,0,House,NoSeWa,No Access,C,5290635,9
50,T Nagar,1655,1,1,4,0,Others,AllPub,Gravel,RH,12548930,34
51,Karapakkam,940,1,1,3,0,House,AllPub,Paved,RH,5857750,49
52,KK Nagar,1667,2,1,4,1,House,NoSeWa,Paved,RM,10729700,5
53,KK Nagar,1926,3,2,5,1,Commercial,NoSeWa,Paved,RM,17006780,9
54,Adyar,718,1,1,2,1,Others,ELO,No Access,C,5570050,30
55,Karapakkam,545,1,1,2,0,Others,ELO,No Access,RH,3854375,30
56,Karapakkam,1249,1,1,3,1,Others,ELO,Gravel,RH,8594875,36
57,T Nagar,1894,2,1,5,1,House,NoSeWa,Gravel,RL,13549250,45
58,Karapakkam,1469,2,2,4,0,Commercial,NoSeWa,No Access,C,9480750,5
59,Adyar,916,1,1,3,1,House,ELO,No Access,A,5847520,28
60,Chrompet,934,1,1,3,1,House,NoSeWa,Paved,RM,9710900,22
61,Karapakkam,1691,2,2,4,0,House,NoSeWa,Gravel,RM,9398750,31
62,Karapakkam,1236,1,1,3,0,Commercial,NoSeWa,Paved,I,8806250,39
63,T Nagar,1577,1,1,4,1,Others,NoSeWa,Paved,RH,12087330,36
64,Anna Nagar,1915,2,1,5,1,Others,NoSeWa,Gravel,RH,14175620,41
65,Anna Nagar,1600,1,1,4,1,House,ELO,Gravel,RH,11920820,21
66,Velachery,1579,2,1,4,1,Commercial,ELO,Paved,I,13364730,24
67,Adyar,1260,2,2,4,0,Others,NoSeWa,No Access,A,6922975,25
68,Adyar,1021,1,1,3,0,Commercial,NoSeWa,Paved,I,11673175,5
69,KK Nagar,2174,3,2,5,1,Others,AllPub,Paved,RM,13069740,23
70,Anna Nagar,1589,1,1,4,0,Others,AllPub,Gravel,RL,12212350,44
71,Adyar,668,1,1,2,1,Commercial,NoSeWa,Gravel,I,10283575,5
72,Velachery,1724,2,1,4,1,House,ELO,No Access,RL,8956480,54
73,Adyar,890,1,1,3,1,House,NoSeWa,Paved,C,7187350,30
74,Adyar,1218,2,2,4,0,Commercial,AllPub,No Access,I,12574850,30
75,Anna Nagar,1792,1,1,4,1,House,ELO,Gravel,RM,13906270,21
76,Karapakkam,1378,2,2,4,0,Others,NoSeWa,Gravel,RM,9917500,9
77,Karapakkam,898,1,1,3,1,Commercial,NoSeWa,Paved,RH,8629750,29
78,Anna Nagar,1928,2,1,5,0,House,AllPub,No Access,RH,11667050,10
79,Chrompet,1233,2,1,4,0,House,NoSeWa,Gravel,RM,9817150,33
80,Velachery,1618,2,1,4,1,Others,NoSeWa,Paved,C,9263050,40
81,Karapakkam,627,1,1,2,0,House,NoSeWa,Gravel,RM,6587500,28
82,Velachery,1563,2,1,4,0,House,NoSeWa,Gravel,RM,9799360,28
83,Karapakkam,1693,2,2,4,1,Commercial,NoSeWa,Gravel,C,12801500,6
84,T Nagar,1522,1,1,4,0,Commercial,AllPub,Gravel,RL,17454510,43
85,Adyar,1090,1,1,3,1,Others,NoSeWa,Gravel,RH,9832420,28
86,Chrompet,1085,1,1,3,1,Commercial,NoSeWa,Gravel,RL,14363500,6
87,T Nagar,1687,1,1,4,0,Others,NoSeWa,Paved,RH,12476770,13
88,Adyar,692,1,1,2,1,Commercial,AllPub,Paved,RH,10381355,37
89,T Nagar,1518,1,1,4,1,Commercial,AllPub,Paved,RH,17600240,37
90,Adyar,1025,1,1,3,0,Commercial,NoSeWa,Paved,I,10934875,25
91,KK Nagar,2170,3,2,5,1,House,NoSeWa,Gravel,RL,12372160,8
92,Chrompet,969,1,1,3,1,Commercial,ELO,No Access,RH,11248750,17
93,KK Nagar,1546,2,1,4,0,Commercial,AllPub,Gravel,RM,14241140,27
94,KK Nagar,1709,2,1,4,1,House,NoSeWa,Paved,RL,10160600,20
95,T Nagar,1659,1,1,4,1,Others,NoSeWa,No Access,RL,13539080,18
96,Chrompet,755,1,1,2,0,Commercial,ELO,Gravel,RM,10727750,33
97,Adyar,1182,1,1,3,1,House,AllPub,No Access,RL,9867055,17
98,Adyar,735,1,1,2,0,Commercial,NoSeWa,No Access,RH,9478710,14
99,Chrompet,1089,1,1,3,1,House,ELO,Paved,RL,9050200,32
100,Velachery,1534,2,1,4,1,Others,ELO,Paved,C,7904210,53
101,Anna Nagar,1622,1,1,4,1,House,ELO,Gravel,RL,13063450,5
102,KK Nagar,2198,3,2,5,1,Others,NoSeWa,Gravel,RM,13584980,21
103,Chrompet,1293,2,1,4,0,Commercial,ELO,No Access,RL,13116050,39
104,KK Nagar,1641,2,1,4,0,Others,AllPub,Gravel,RL,10012600,29
105,Velachery,1950,3,2,5,1,Others,NoSeWa,Paved,RL,12105920,41
106,Karapakkam,1245,1,1,3,0,Others,NoSeWa,Paved,A,4918375,28
107,Chrompet,905,1,1,3,0,Others,ELO,Gravel,RH,7703200,33
108,KK Nagar,1496,2,1,4,0,House,NoSeWa,Gravel,RH,8569080,14
109,Velachery,1892,3,2,5,1,House,ELO,Gravel,RM,12146620,36
110,Velachery,1517,2,1,4,0,Commercial,ELO,Paved,C,11671620,11
111,Adyar,1034,1,1,3,1,Others,ELO,Gravel,C,9256740,16
112,Velachery,1755,2,1,4,1,Commercial,NoSeWa,Gravel,I,14915900,35
113,Anna Nagar,1622,1,1,4,1,House,NoSeWa,Paved,RM,13547790,7
114,Chrompet,1092,1,1,3,0,Others,AllPub,No Access,RH,8213040,4
115,Chrompet,821,1,1,3,0,House,NoSeWa,Paved,RH,7304000,8
116,KK Nagar,1694,2,1,4,0,Others,NoSeWa,Gravel,RL,10390900,11
117,Anna Nagar,1809,2,1,5,0,Commercial,AllPub,No Access,RL,19206870,26
118,Karapakkam,1401,2,2,4,1,Others,AllPub,Gravel,RL,9965375,14
119,Karapakkam,1470,2,2,4,0,Others,NoSeWa,No Access,RH,7207000,25
120,Chrompet,798,1,1,2,0,Commercial,NoSeWa,Paved,RH,9070550,37
121,Chrompet,764,1,1,2,0,House,ELO,No Access,RH,5670200,8
122,Chrompet,1135,1,1,3,0,Others,NoSeWa,No Access,RM,9253200,23
123,Karapakkam,939,1,1,3,0,House,ELO,No Access,I,4294000,38
124,Karapakkam,1586,2,2,4,1,Commercial,NoSeWa,Gravel,RM,14316000,28
125,T Nagar,1973,2,1,5,1,Commercial,AllPub,Gravel,RM,23307000,35
126,Chrompet,1023,1,1,3,1,House,AllPub,Paved,RM,9735150,17
127,Chrompet,884,1,1,3,0,Commercial,NoSeWa,No Access,RM,11336400,4
128,Anna Nagar,1640,1,1,4,0,Commercial,ELO,No Access,RH,17701600,5
129,Adyar,622,1,1,2,0,Others,ELO,No Access,RL,6572900,20
130,Anna Nagar,1880,2,1,5,1,House,NoSeWa,No Access,RM,13423020,16
131,KK Nagar,2413,4,2,6,0,Others,NoSeWa,Paved,RM,13122040,9
132,T Nagar,1649,1,1,4,0,Commercial,AllPub,Gravel,RH,18939100,25
133,Velachery,1729,2,1,4,1,Commercial,NoSeWa,Paved,A,12803570,41
134,T Nagar,1942,2,1,5,0,House,NoSeWa,Gravel,RH,12330740,37
135,Chrompet,711,1,1,2,1,Others,NoSeWa,No Access,RL,8050270,12
136,Chrompet,885,1,1,3,0,House,ELO,No Access,RM,7194600,32
137,KK Nagar,1688,2,1,4,1,House,NoSeWa,Gravel,RM,11412700,15
138,Adyar,1236,2,2,4,0,Commercial,ELO,Gravel,A,12035355,37
139,Karapakkam,926,1,1,3,0,House,ELO,Gravel,RL,6877000,20
140,KK Nagar,1686,2,1,4,0,Others,NoSeWa,Paved,RM,10346400,24
141,Karapakkam,1344,2,2,4,0,Commercial,NoSeWa,Gravel,RH,10809500,50
142,KK Nagar,1437,2,1,4,0,Others,AllPub,Gravel,RM,10200600,23
143,Karapakkam,1430,2,2,4,1,Others,NoSeWa,No Access,A,6635750,10
144,Adyar,1081,1,1,3,0,House,AllPub,No Access,C,6190150,30
145,Karapakkam,1352,2,2,4,1,House,ELO,Gravel,A,6507250,27
146,KK Nagar,1986,3,2,5,0,House,AllPub,Gravel,RM,11350400,30
147,Anna Nagar,1758,1,1,4,1,Commercial,AllPub,No Access,RL,19285540,42
148,Karapakkam,607,1,1,2,0,Others,NoSeWa,Gravel,RL,5856625,46
149,KK Nagar,2139,3,2,5,1,Others,NoSeWa,Paved,RL,12472000,21
150,KK Nagar,1488,2,1,4,0,Others,AllPub,Paved,RH,8441900,27
151,Velachery,1645,2,1,4,0,House,NoSeWa,No Access,RH,7579320,26
152,Chrompet,950,1,1,3,1,Others,NoSeWa,Gravel,RL,9759000,26
153,Chrompet,928,1,1,3,1,Commercial,AllPub,Gravel,RH,12423800,4
154,Velachery,1693,2,1,4,1,Commercial,NoSeWa,Paved,RM,15495760,53
155,Velachery,1873,3,2,5,1,Others,ELO,No Access,RL,11022270,21
156,Adyar,721,1,1,2,0,Others,NoSeWa,Paved,RL,7605550,10
157,Karapakkam,1190,1,1,3,1,House,NoSeWa,Gravel,RH,7967750,29
158,KK Nagar,1593,2,1,4,0,Others,AllPub,Paved,RH,8946800,17
159,Chrompet,786,1,1,2,1,Others,ELO,Gravel,RL,9244820,12
160,Chrompet,1195,1,1,3,0,Others,NoSeWa,Paved,RL,9821600,19
161,Velachery,1824,3,2,5,0,House,NoSeWa,Paved,I,8549060,33
162,KK Nagar,1906,3,2,5,1,Commercial,NoSeWa,Paved,RH,15852740,7
163,Adyar,656,1,1,2,0,Commercial,AllPub,Paved,I,8757635,9
164,Chrompet,727,1,1,2,0,Others,ELO,Gravel,RM,8415990,16
165,Adyar,931,1,1,3,1,Others,ELO,Paved,RM,9935595,33
166,Velachery,1898,3,2,5,1,Commercial,ELO,No Access,RM,16617860,38
167,Anna Nagar,1698,1,1,4,0,House,NoSeWa,Gravel,RM,12412050,40
168,T Nagar,1926,2,1,5,1,Commercial,NoSeWa,No Access,RM,22630540,17
169,Karapakkam,1481,2,2,4,1,Commercial,AllPub,Paved,A,9901500,38
170,Anna Nagar,1506,1,1,4,0,House,ELO,No Access,RM,10449910,33
171,Chrompet,1020,1,1,3,0,House,NoSeWa,No Access,RM,7948600,24
172,Chrompet,889,1,1,3,0,Others,ELO,Gravel,RM,9098680,21
173,Chrompet,1015,1,1,3,1,House,AllPub,Paved,RH,8342850,35
174,T Nagar,1682,1,1,4,0,Commercial,AllPub,Gravel,RH,18662350,35
175,Chrompet,869,1,1,3,0,Others,NoSeWa,No Access,RM,8172630,18
176,Karapakkam,1445,2,2,4,0,House,NoSeWa,No Access,I,5856500,24
177,Anna Nagar,1919,2,1,5,1,House,NoSeWa,Gravel,RM,14704160,13
178,Adyar,1243,2,2,4,1,Commercial,NoSeWa,Paved,C,13360440,36
179,Karapakkam,857,1,1,2,0,House,ELO,Paved,I,4928250,17
180,Karapakkam,1055,1,1,3,1,Others,NoSeWa,Gravel,I,7315125,48
181,KK Nagar,1778,3,2,5,0,Others,NoSeWa,Gravel,RL,10998320,8
182,Karapakkam,851,1,1,2,0,Others,ELO,Paved,A,3936375,41
183,Chrompet,1021,1,1,3,1,Others,NoSeWa,No Access,RL,9201770,4
184,KK Nagar,2203,3,2,5,1,Commercial,NoSeWa,Paved,RL,17891240,22
185,Karapakkam,613,1,1,2,0,Commercial,NoSeWa,No Access,I,5144500,30
186,Adyar,738,1,1,2,0,Commercial,NoSeWa,No Access,I,8312670,18
187,Karapakkam,1489,2,2,4,0,House,ELO,Gravel,RH,8007250,29
188,Karapakkam,795,1,1,2,1,House,NoSeWa,Gravel,RM,8479250,9
189,Velachery,1909,3,2,5,1,Others,AllPub,Gravel,A,10129160,33
190,Chrompet,1252,2,1,4,0,House,AllPub,No Access,RM,9482200,12
191,Karapakkam,1077,1,1,3,0,Commercial,ELO,Paved,RM,9846750,33
192,KK Nagar,1524,2,1,4,0,Others,NoSeWa,Paved,RH,8675820,27
193,Chrompet,1049,1,1,3,1,House,ELO,Gravel,RM,10262450,11
194,Velachery,1780,2,1,4,0,Others,AllPub,Gravel,C,8671050,55
195,Chrompet,946,1,1,3,0,Commercial,ELO,No Access,RL,11165550,17
196,Chrompet,906,1,1,3,1,House,NoSeWa,Gravel,RM,9464800,32
197,KK Nagar,2344,4,2,6,0,Commercial,NoSeWa,Gravel,RM,18849880,24
198,Adyar,929,1,1,3,1,Others,NoSeWa,Paved,RH,9480425,15
199,Anna Nagar,1843,2,1,5,0,House,ELO,No Access,RL,12264750,15
200,Anna Nagar,1918,2,1,5,1,Commercial,AllPub,Gravel,RL,21875050,35
201,KK Nagar,1507,2,1,4,1,Commercial,AllPub,Paved,RH,13538580,19
202,KK Nagar,1499,2,1,4,0,House,AllPub,Gravel,RH,8876320,6
203,KK Nagar,1526,2,1,4,1,Commercial,AllPub,Paved,RH,13645040,22
204,Anna Nagar,1855,2,1,5,1,Commercial,NoSeWa,Paved,RH,20996200,10
205,Karapakkam,1627,2,2,4,1,Others,ELO,Paved,RH,9071125,30
206,Velachery,1846,3,2,5,0,House,AllPub,Gravel,RM,10815830,39
207,KK Nagar,2019,3,2,5,1,Others,NoSeWa,Paved,RM,12802500,16
208,Karapakkam,1578,2,2,4,1,Others,AllPub,Gravel,I,9532500,13
209,Velachery,1780,2,1,4,1,Commercial,NoSeWa,No Access,C,13346700,25
210,Karapakkam,662,1,1,2,0,Commercial,NoSeWa,No Access,C,4356500,38
211,Chrompet,1005,1,1,3,0,Commercial,NoSeWa,Gravel,RL,12257100,26
212,Karapakkam,839,1,1,2,0,House,NoSeWa,Paved,C,4100500,20
213,Anna Nagar,1698,1,1,4,0,House,AllPub,No Access,RM,11527430,34
214,Adyar,878,1,1,3,1,House,NoSeWa,Paved,A,6452785,19
215,Chrompet,835,1,1,3,1,House,ELO,Paved,RM,8434750,37
216,Chrompet,911,1,1,3,1,Others,ELO,No Access,RH,7427820,33
217,Velachery,1796,2,1,4,1,House,ELO,No Access,RH,9105350,50
218,Karapakkam,1004,1,1,3,0,Others,ELO,No Access,C,4721500,28
219,Anna Nagar,1694,1,1,4,0,Others,NoSeWa,Paved,RL,12575010,27
220,Karapakkam,1244,1,1,3,1,Others,AllPub,Gravel,I,7952750,31
221,Karapakkam,588,1,1,2,0,Others,AllPub,Paved,RL,5705500,24
222,KK Nagar,2342,4,2,6,1,House,NoSeWa,Paved,RL,12898740,7
223,Velachery,1835,3,2,5,0,Others,AllPub,Paved,RL,10722580,29
224,Anna Nagar,1977,2,1,5,1,House,AllPub,Gravel,RL,14102960,43
225,KK Nagar,1961,3,2,5,1,Commercial,NoSeWa,Gravel,RM,17612900,15
226,Velachery,1517,2,1,4,1,House,NoSeWa,No Access,A,7146890,12
227,KK Nagar,2409,4,2,6,1,Others,NoSeWa,Gravel,RL,13476480,25
228,Velachery,1864,3,2,5,0,Commercial,ELO,Gravel,RH,15100560,23
229,Velachery,1643,2,1,4,1,Commercial,AllPub,Paved,RM,15599020,31
230,Adyar,1015,1,1,3,1,Commercial,NoSeWa,No Access,C,11224620,8
231,Anna Nagar,1700,1,1,4,1,Others,NoSeWa,No Access,RH,12477040,32
232,Karapakkam,624,1,1,2,0,Commercial,ELO,No Access,C,4396250,31
233,Chrompet,980,1,1,3,0,Commercial,NoSeWa,Paved,RL,11900750,17
234,Karapakkam,1003,1,1,3,1,Commercial,NoSeWa,Gravel,RH,10090000,20
235,Adyar,1072,1,1,3,1,House,NoSeWa,No Access,A,6607690,6
236,Karapakkam,808,1,1,2,0,House,NoSeWa,Gravel,C,4752250,35
237,Chrompet,1027,1,1,3,0,House,ELO,Paved,RH,7441350,21
238,Karapakkam,696,1,1,2,0,House,NoSeWa,Gravel,RL,6441250,11
239,Velachery,1716,2,1,4,1,House,ELO,Paved,RL,10359860,8
240,Velachery,1878,3,2,5,0,Commercial,AllPub,Paved,C,14328720,6
241,KK Nagar,1699,2,1,4,1,Others,NoSeWa,Gravel,RL,11444100,16
242,KK Nagar,1626,2,1,4,0,House,AllPub,Paved,RM,9680280,24
243,KK Nagar,1730,2,1,4,0,Commercial,NoSeWa,Gravel,RL,14739360,18
244,Chrompet,996,1,1,3,0,Others,ELO,Gravel,RL,8939620,22
245,Chrompet,1277,2,1,4,1,Commercial,AllPub,No Access,RM,15710400,16
246,Chrompet,906,1,1,3,0,Commercial,NoSeWa,Paved,RH,10226600,32
247,Anna Nagar,1976,2,1,5,0,House,NoSeWa,Paved,RL,12300050,39
248,Velachery,1776,2,1,4,1,House,NoSeWa,Paved,RH,9989170,21
249,Karapakkam,1402,2,2,4,0,House,NoSeWa,Gravel,I,6966500,30
250,Chrompet,1160,1,1,3,1,Others,AllPub,No Access,RH,9463900,30
251,Velachery,1957,3,2,5,1,Commercial,ELO,No Access,I,15199450,25
252,T Nagar,1887,2,1,5,0,Commercial,NoSeWa,No Access,RL,20499450,20
253,Velachery,1859,3,2,5,1,House,ELO,Paved,RH,9925210,48
254,Chrompet,747,1,1,2,1,Commercial,AllPub,No Access,RM,11223550,5
255,Adyar,985,1,1,3,1,House,NoSeWa,Paved,C,7379505,7
256,Chrompet,1024,1,1,3,1,Commercial,AllPub,No Access,RH,12091400,16
257,Velachery,1600,2,1,4,1,Others,ELO,Paved,RL,10530200,25
258,Chrompet,1276,2,1,4,0,Others,NoSeWa,Paved,RL,9604120,36
259,Chrompet,1159,1,1,3,1,House,ELO,Gravel,RH,9062800,36
260,Karapakkam,1024,1,1,3,1,House,NoSeWa,No Access,C,4748500,50
261,Adyar,1249,2,2,4,0,Commercial,NoSeWa,Paved,A,12642285,19
262,Chrompet,839,1,1,3,1,Others,AllPub,Gravel,RH,9107430,16
263,Chrompet,1286,2,1,4,0,House,AllPub,No Access,RM,9153300,34
264,KK Nagar,2467,4,2,6,0,House,AllPub,Gravel,RL,12650920,16
265,Karapakkam,653,1,1,2,0,Commercial,ELO,No Access,RM,7635250,15
266,Karapakkam,606,1,1,2,1,Others,NoSeWa,Gravel,RM,7854000,17
267,T Nagar,1837,2,1,5,1,House,ELO,No Access,RL,13197230,29
268,Velachery,1880,3,2,5,1,Commercial,NoSeWa,No Access,C,13669670,46
269,KK Nagar,2189,3,2,5,1,Commercial,AllPub,Gravel,RH,18249860,23
270,Velachery,1853,3,2,5,1,Commercial,NoSeWa,Paved,C,14707330,49
271,Chrompet,1057,1,1,3,0,Others,AllPub,Paved,RL,9144840,17
272,Adyar,723,1,1,2,0,Commercial,ELO,Gravel,RM,10969920,28
273,T Nagar,1812,2,1,5,0,Others,ELO,No Access,RL,12248640,44
274,T Nagar,1788,1,1,4,1,Others,ELO,No Access,RL,14225180,17
275,Velachery,1615,2,1,4,0,House,ELO,Paved,I,8019280,19
276,Anna Nagar,1755,1,1,4,0,House,NoSeWa,No Access,RL,11410310,43
277,Adyar,1296,2,2,4,0,House,AllPub,No Access,RM,9950600,20
278,KK Nagar,1554,2,1,4,1,House,NoSeWa,Paved,RL,9980320,6
279,Anna Nagar,1737,1,1,4,1,House,AllPub,Gravel,RL,14292780,9
280,Karapakkam,785,1,1,2,1,Others,AllPub,No Access,I,5752875,12
281,Karapakkam,1678,2,2,4,1,Commercial,NoSeWa,Gravel,C,11883250,35
282,KK Nagar,2360,4,2,6,1,Commercial,NoSeWa,Paved,RM,19816180,9
283,KK Nagar,1464,2,1,4,1,Others,NoSeWa,Paved,RH,9394640,28
284,KK Nagar,1632,2,1,4,1,Others,AllPub,Gravel,RH,10506420,19
285,Velachery,1755,2,1,4,1,Others,ELO,No Access,C,8762820,26
286,Velachery,1556,2,1,4,0,Others,NoSeWa,Paved,RL,9348100,20
287,Adyar,1170,1,1,3,0,House,NoSeWa,Gravel,RH,9134740,36
288,Adyar,901,1,1,3,0,Others,AllPub,Gravel,I,7643255,37
289,Karapakkam,1160,1,1,3,1,Commercial,NoSeWa,Gravel,A,8886250,19
290,Karapakkam,1570,2,2,4,1,House,NoSeWa,No Access,A,6407000,8
291,Karapakkam,1476,2,2,4,0,Commercial,NoSeWa,Paved,RL,11536000,32
292,Karapakkam,586,1,1,2,1,Others,ELO,Paved,I,5333000,19
293,Karapakkam,1059,1,1,3,1,House,AllPub,Paved,RL,7849250,33
294,T Nagar,1712,1,1,4,1,House,NoSeWa,Gravel,RL,13797720,6
295,Adyar,847,1,1,3,0,Others,NoSeWa,Gravel,RH,7492300,39
296,Karapakkam,1192,1,1,3,0,House,NoSeWa,No Access,I,5342250,23
297,Velachery,1942,3,2,5,1,Commercial,AllPub,No Access,RL,16212650,25
298,Karapakkam,557,1,1,2,1,Others,ELO,No Access,I,4710125,17
299,Velachery,1728,2,1,4,1,Commercial,ELO,Gravel,I,14898480,19
300,Velachery,1798,2,1,4,1,Commercial,AllPub,Gravel,RM,17060380,29
301,Karapakkam,1497,2,2,4,1,House,AllPub,Gravel,A,6931750,35
302,Chrompet,1173,1,1,3,1,House,NoSeWa,No Access,RH,8196400,32
303,Anna Nagar,1640,1,1,4,1,Commercial,NoSeWa,No Access,RH,17704670,36
304,KK Nagar,1747,2,1,4,1,Others,NoSeWa,Paved,RL,10784680,17
305,Karapakkam,1342,2,2,4,1,Commercial,ELO,No Access,I,9594250,43
306,T Nagar,2000,2,1,5,0,House,NoSeWa,No Access,RM,13596890,27
307,Velachery,1987,3,2,5,0,Others,NoSeWa,Gravel,RH,11156320,11
308,Karapakkam,1567,2,2,4,0,Others,AllPub,Gravel,C,7725875,17
309,Karapakkam,1188,1,1,3,0,Commercial,AllPub,No Access,RM,9819500,34
310,Adyar,737,1,1,2,0,House,NoSeWa,No Access,A,3869180,32
311,Karapakkam,785,1,1,2,1,Others,NoSeWa,Paved,C,5852625,13
312,KK Nagar,2078,3,2,5,0,House,NoSeWa,Paved,RH,9696820,21
313,Adyar,647,1,1,2,1,Commercial,AllPub,No Access,RH,9574550,10
314,Karapakkam,1171,1,1,3,1,Others,AllPub,No Access,A,6102625,16
315,KK Nagar,2435,4,2,6,1,Commercial,NoSeWa,Gravel,RM,20246360,18
316,Velachery,1805,3,2,5,1,Commercial,AllPub,Paved,RL,16930470,16
317,Karapakkam,1145,1,1,3,0,House,AllPub,Gravel,A,5510250,17
318,Karapakkam,971,1,1,3,0,House,AllPub,Paved,RL,6530500,28
319,Karapakkam,1657,2,2,4,1,Others,NoSeWa,Gravel,RL,10147125,39
320,Velachery,1638,2,1,4,1,House,NoSeWa,No Access,RH,9705900,5
321,Adyar,1284,2,2,4,1,Commercial,ELO,Paved,RL,16107475,5
322,Adyar,1273,2,2,4,0,Others,ELO,No Access,A,7451690,6
323,Chrompet,1185,1,1,3,1,House,ELO,Gravel,RL,10163000,20
324,T Nagar,1538,1,1,4,1,Commercial,NoSeWa,Gravel,RL,19376950,5
325,KK Nagar,1929,3,2,5,0,Others,AllPub,Paved,RH,10173980,30
326,KK Nagar,1656,2,1,4,1,House,NoSeWa,Paved,RM,10910100,15
327,Adyar,1287,2,2,4,1,Commercial,NoSeWa,Gravel,I,15013625,15
328,T Nagar,1749,1,1,4,0,Others,NoSeWa,No Access,RH,11713410,32
329,Anna Nagar,1585,1,1,4,0,Commercial,AllPub,No Access,RL,17382790,17
330,T Nagar,1962,2,1,5,1,Others,NoSeWa,Paved,RM,15862990,34
331,KK Nagar,1425,2,1,4,0,House,NoSeWa,Paved,RL,8677280,14
332,Karapakkam,884,1,1,2,1,Commercial,NoSeWa,Paved,I,8282500,26
333,Chrompet,1052,1,1,3,0,Others,NoSeWa,No Access,RH,7926740,10
334,T Nagar,1756,1,1,4,0,House,NoSeWa,Gravel,RL,12093570,31
